id,TotalStreamCounts,PeakStreamCounts,PeakPosition
2naHX4cacns359w3ugyt3P,4045182.0,57311.0,44.0
2o4dDfLK6NVI7TjBm5VoMv,18930903.0,38201.0,26.0
2oVLEoBVDvYrGmzrU7dEm5,17356943.0,158606.0,5.0
2qWP5ZarXRsdmxzz3L3BtP,17715148.0,36124.0,22.0
2qc4FFBylFT5YhvMJMX50R,2837620.0,60585.0,28.0
2rDtJL39iMme6RgWnETEWP,347540.0,27616.0,131.0
2sJZUN3ymHgsLCqGCbszBJ,442133.0,11073.0,8.0
2tAd0IDLH3nE8gJlxuB1bt,43566.0,3599.0,9.0
2tZjAcLcg7k0p0c1wA3Ggk,183920.0,21049.0,76.0
2tg8L2ls1k19B2SvRKBnJh,2553702.0,27555.0,11.0
2uZmeuNAxSm7XfVIwLkhCx,24344022.0,77847.0,12.0
2vRkwfiy4Se8ddUSkdMTmQ,352515.0,20798.0,24.0
2zRzmGerfTxc2epZHgaTdh,17378026.0,32935.0,18.0
307iMiCYAKX6sUG7P4UKWt,7995890.0,34079.0,5.0
30CXPFiHrPmKxAxPpiMlLw,858370.0,33565.0,100.0
31Rxc3kfQjI7WpaRKskQs2,298094.0,4399.0,94.0
32K6zBYFUUxKrdsoZd7k3v,1031678.0,10128.0,101.0
33S16Xa5cZmLPhn6eZI4Nm,7178751.0,43831.0,70.0
33SYx5viijwLGMqfl50FKI,1728759.0,50514.0,15.0
33dIUFKBA7U5KHs1fdBw8b,155088.0,31823.0,46.0
33weHbON0j21ZPUMc0ZKTt,2789001.0,17283.0,12.0
3440g8awr2l0E5Yy2X5Epk,22600917.0,67302.0,3.0
34uOIsoy6ETS2sxOTWBRDF,6486616.0,157209.0,1.0
35gc5FTZehQ5DF2BI6wkgf,3840036.0,92581.0,20.0
36OyVzUmUFb1MTTzy3YXbh,7938170.0,142985.0,2.0
36fgG6NiEuQXznNgf5y2Ck,4014695.0,75516.0,28.0
37GNTP4wB0QSkUwcTWLHKg,1289499.0,22144.0,43.0
37KEMM9tMw5Tb5GWlBmOVM,263164.0,18807.0,177.0
37PyxXH5vlbNcYwxOHbfFn,231756.0,17187.0,51.0
37kfF2bDr3O2qmOYNTgDMT,1009732.0,25038.0,46.0
37od1g713ZvI32VA2diR9L,828599.0,21790.0,85.0
37ull7GiBZRLhWYDBIYZzW,4070569.0,126466.0,10.0
38MI5LpTajiO3A0DQGcCmu,1002421.0,44313.0,23.0
38rjRVqEHSlDRrDWDvjkqW,19825488.0,93035.0,1.0
38sxHKwaMeDAn4ppmilyas,604391.0,29013.0,5.0
39KWnPNEvbXt423CzjvBfA,2487217.0,37310.0,77.0
3A0QLMQn0XqmCrJMInLhYg,884902.0,38433.0,59.0
3A9A7mfVDVm3rrS9SMGhg5,18468303.0,68056.0,18.0
3AejRjgBsFV4HWHjJmmEP7,15975812.0,30954.0,20.0
3BnD2G2bRvtRiLssSQY8oE,186795.0,7955.0,157.0
3COYA2vgfcUhDyRlVpZy5p,20220445.0,191589.0,4.0
3CyGK8BeJ5iCunpzvHyINs,5568345.0,76085.0,8.0
3DLtPObflLQBodZN8qGODT,25206960.0,51796.0,14.0
3EQjXzlXY0dyOovq0Awe91,3960884.0,111738.0,6.0
3ER1r0HipeSSu7YNImC6vd,4746235.0,45704.0,58.0
3ESeHjnPRxAg4mW3KsFyXi,812074.0,7991.0,92.0
3ET3xHCLMGd57u06A9RjJ0,13670128.0,43102.0,65.0
3EuOQ0v6LxsNFSf3BF5wrw,19932.0,1364.0,157.0
3EvZ9Ztgy03uUhxlv8PLf3,453121.0,41272.0,26.0
3Gr6ucPp3qJbBZ3yrGmZTt,263998.0,34500.0,40.0
3HJ0EW4kd9S1NRCm039Fsk,9209567.0,29133.0,1.0
3I024mr4TcQb8W9cNVe0ze,1251276.0,50939.0,23.0
3Ids3RXurYBgySph53qWnB,5049765.0,93035.0,14.0
3J3nv18iIrOhca1ZWNeuyW,9915754.0,29720.0,110.0
3K7RddI2L8Wiv7uIbrhfLc,19499888.0,78132.0,10.0
3LGNVNZeEIUwdzDvnUO73V,3620831.0,18525.0,40.0
3LfiZlWffAqGOAQ6sKjoJP,633718.0,10207.0,88.0
3LlEZ4J1ORcgP1WmTF9pIX,33650.0,5930.0,143.0
3MlvHVRytWiXpSHEeZVF0I,942835.0,39180.0,80.0
3Ndroo5HpBKKTRGYReAYHM,2408070.0,36681.0,58.0
3Nn9QjxOEj1pleW9xTG6cq,10577582.0,108915.0,12.0
3NvH1v6NOxlawEoCXjg9sK,1684003.0,34025.0,69.0
3O3h5nceJQgZ6wMIPCoJzj,577000.0,32258.0,85.0
3OVMe3H6iAxbLF8iD2UYrw,25820250.0,432060.0,1.0
3P3rcI48wwVEgxF5vPM6pG,11592740.0,37756.0,46.0
3QjcsqERv4IfmopRvXFoWB,1779211.0,45723.0,55.0
3Sg9sJ1VxG91hvcRFrVuH7,1611335.0,5729.0,29.0
3U5WFUIgOaA1U7GdTs4yjQ,3885639.0,40781.0,1.0
3XCp5o1FUpAH0aj2Hmj5yz,10698108.0,98721.0,9.0
3YctJXK6kznnWl68TnYobN,35360713.0,108365.0,3.0
3Yfedn84e2VLXSVwmowqEn,754527.0,38742.0,7.0
3ZbZtdEw9U0uZW4tZItIwq,37796212.0,133158.0,4.0
3b34161QoxLwsqhWSPy9i5,32492207.0,32516.0,1.0
3bEAVuzTJ1Pd4ZGj2ykqnB,3584.0,1466.0,65.0
3bZGGKrMQLDGg18y2QqKFF,7456180.0,34079.0,5.0
3dvkpe9FEekxxgaQtxOHQI,6751373.0,26946.0,26.0
3fw9v7CztM2mqu1jCtbg9f,2056921.0,41119.0,26.0
3g0Dwgd36QRmPecFIoubg4,1463176.0,38231.0,33.0
3ho1OQb9SFtCt3MIiRZ8Si,2951415.0,33993.0,8.0
3hqOrxH5qPlvrApcb7Ac8c,22976252.0,58305.0,23.0
3i6VNcn9dFpU1K2ZaMFHTC,1007191.0,27416.0,74.0
3keyZ8cXkQ57melgiAsJ5m,595649.0,32862.0,35.0
3kwb99PcsCYFYcFB0jTr1a,77984.0,37483.0,71.0
3kxFvcB92qQg9wl52CQ7aV,3204845.0,41687.0,17.0
3lgCCIj5kUu8IAbJarm9oz,470520.0,25178.0,89.0
3nAwC1qVqRQYiRCrp6q1dU,5347054.0,24502.0,118.0
3nHbNyuUsVmtwHAcpeOrZR,248690.0,7985.0,58.0
3nkG7srXxyvQpEgiMjQgDm,138583.0,24727.0,70.0
3nnTAS4qhgtZaWtx4MkKQ0,24461.0,7563.0,108.0
3nw5vYaH4qVx8joq3qhtNx,6028429.0,26444.0,85.0
3oIKYROTi2wREKdnqq3yAp,222028.0,25642.0,96.0
3pbbEjmAWUHbGgWV8evyfd,233697.0,21704.0,45.0
3pgwxYRPbYIC6C1J2FPge8,1037466.0,39091.0,7.0
3pmDpi2XUdGGInqXQbOIaM,959968.0,33334.0,107.0
3puPTaE5acvWNGaNSoM3wT,325274.0,13301.0,159.0
3qllaNK66kKxX123f0eKpj,1661317.0,38028.0,75.0
3rtOU0GwlsbCNiCqEDLZUN,5303583.0,59020.0,37.0
3rxbssNItXaXyqc0wJUsYC,1353752.0,81977.0,11.0
3sV8ExJeOGXbanczafavZv,7564777.0,64684.0,1.0
3uT8QfoX0BE8ZJa4h98LDW,28966564.0,166219.0,3.0
3ukrFH17Zl6iEZ2QJ1Zwiy,34134919.0,67762.0,2.0
3un8UkiPHJjlsrTHQnisXH,21948276.0,355680.0,1.0
3vWCRttEOSRmXZs8jfAPSX,1049363.0,76068.0,10.0
3vsmNXDJsCUt2ESWPwFaAv,1878659.0,49743.0,47.0
3wn8HJNjkY4wzTBy35ZvQ6,16949382.0,46115.0,7.0
3wrzXRNJVxwOByPpYjyujB,491874.0,8335.0,100.0
3xlhYIhZ7heAvohmw3uyfd,105805.0,30157.0,50.0
